Material|Descripción|Unidades por caja|Peso (g)|Volumen (cm3)|Coste medio|Coste última reposición
50000092|ESTUCHE REPICKING NAVIDAD 2005|0|76|190|14|14
50000093|DEMO-FOLH PRIM/VERAO - INT|0|1|1|0|0
50000133|BIOGRAFIA-CJ PROMOCIONAL 99|0|1|1|0|0
50000224|SOMBRA EM BASTAO-PEROLA|0|15|53|2|1
50000225|DEMO LABIALES EXTREMO CONFORT VARIOS|0|20|20|1|1
50000226|SOMBRA EM BASTAO-COBRE|0|15|53|1|0
50000227|SOMBRA EM BASTAO-ROSA|0|15|10|2|2
50000253|MAMA Y BEBE-PORTAUTILIDADES C4/2001|0|60|120|1|1
50000291|DEMO-FLACONETES RF FEM INT|0|9|5|4|4
50000292|DEMO-FLACONETES RF MASC INT|66|90|540|6|6
50000293|DEMO-DESOD RF 4ML INT|0|9|5|0|0
50000296|DEMO-FLACONETE RF EDT FEM INT|0|9|5|0|0
50000297|DEMO-FLACONETE RF EDT MASC INT|0|9|5|0|0
50000298|DEMO-FLACONETE RF INFANTIL INT|0|90|5|1|1
50000299|DEMO-EST PLASTICO PERF INT|0|120|1500|6|6
50000321|NATURA TRAT CUERPO-HIDRATANTE CORPORAL|30|197|545|7|8
50000322|NATURA TRAT CUERPO-CREMA DE MANOS C|0|72|300|2|2
50000692|FACES LOOK MIX FOLK|0|1|1|8|8
50000693|HOJE-DEMO DESOD 4ML|660|8|12|1|1
50000763|NATURA EKOS-JABON EN BARRA GUARANA|0|280|289|2|1
50000830|ESTUCHE SEVE ILUMINADOR NAVIDAD 2005|0|1|2600|10|10
50000831|SEVE-DESOD CORPORAL RF|0|185|311|0|0
50000832|LINHA JOVEM-DESOD COLONIA Sabine|0|270|591|5|2
50000833|SEVE-DEMO DESOD C/6 1.2ML AGN|0|24|48|0|0
50000834|LINHA JOVEM-DEMO DESOD C/6 1.2ML AGN|0|28|48|0|0
50000854|HOJE-DESOD SPRAY|56|151|351|5|5
50000860|SEVE-DEMO DESOD 4ML|0|11|1|0|0
50000861|Sabine -DEMO DESOD 4ML|0|10|1|0|0
50000866|NATURA EKOS-JABON LIQUIDO GUARANA|40|340|500|2|2
50000867|NATURA EKOS REP JABON LIQ GUARANA|36|218|614|1|1
50000868|NATURA EKOS-JABON LIQUIDO CASTAÑA PARA|40|340|536|1|1
50000869|NATURA EKOS REP JABON LIQ CASTAÑA PARA|36|218|536|1|1
50000870|NATURA EKOS-JABON EN BARRA CASTAÑA PARA|0|280|289|2|2
50000871|NATURA EKOS-SHAMPOO MACELA 330ML.|40|397|605|2|2
50000872|NATURA EKOS-CONDICIONADOR MACELA 330ML|40|322|539|1|1
50000873|NATURA EKOS-CONDICIONADOR CASTAÑA SECOS|40|330|539|1|1
50000874|NATURA EKOS REPUESTO ACOND MACELA|36|218|628|1|1
50000875|NATURA EKOS REPUESTO ACOND PITANGA|36|218|628|1|1
50000876|NATURA EKOS REPUESTO SHAMPOO CASTAÑA|36|218|710|1|1
50000877|NATURA EKOS REPUESTO ACOND CASTAÑA|36|218|710|1|1
50000878|NATURA EKOS-EMULSION MANTECA DE CUPUACU|40|336|536|2|2
50000879|NATURA EKOS-COLONIA HOJA FRESCA|40|190|416|4|4
50000880|NATURA EKOS-COLONIA FLOR DE AGUA 150 ML|0|190|416|1|1
50000881|NATURA EKOS-COLONIA LIMA DE LA TIERRA|40|190|416|4|4
50000882|EKOS COLONIA PITANGA|0|191|416|1|3
50000885|NATURA EKOS-OLEO DE MARACUYA TRIFASICO|0|224|314|3|3
50000886|NATURA EKOS-OLEO DE BURITI TRIFASICO|50|224|315|3|2
50000887|NATURA EKOS REPUESTO GEL CREMOSO CASTAÑA|36|324|629|1|2
50000888|NATURA EKOS REP EMULS MANTECA CUPUACU|36|324|629|2|2
50000890|HOJE-DESODORANTE SPRAY RF|72|111|180|2|2
50000894|FOLLETO CHRONOS SPILOL 2006|0|1|1|0|0
50000896|BIOGRAFIA MULHER-EST DIA MAES 2000|0|0|0|0|0
50000944|M&B- CONJUNTO ESPECIAL BEBE|0|1|1|33|33
50000946|SEVE CARAMELERA C/ AMPOLLAS P/BAÑO|0|1|770|2|2
50000972|Sintonia Masculino Desod colonia|40|89|250|17|17
50000977|FACES LABIAL BRILLO Y SAB MORA|0|22|44|3|3
50000980|CARTA KAIAK URBE|0|1|1|0|0
50000981|FACES LABIAL BRILLO FRAMBUESA|0|22|44|3|3
50000982|CHRONOS SPILOL 60+ PRE-LANZAMIENTO|0|22|44|3|3
50000983|CHRONOS SPILOL 30+ PRE-LANZAMIENTO|0|22|44|3|3
50000984|FACES LABIAL BRILLO Y SAB DULCE DE LECHE|0|22|44|3|3
50000985|SOMBRA-DUO Flautim|0|64|132|4|4
50000986|SOMBRA-DUO Bemol|0|64|132|9|10
50000987|KAIAK MASCULINO INDICACION C09/10-06|0|67|132|11|11
50000988|BLUSH-Oboe|0|67|132|4|4
50000995|NATURA EKOS-CONDICIONADOR PITANGA OLEOSO|40|330|539|1|1
50000996|NATURA EKOS-GEL CREMOSO CASTAÑAS|40|330|536|2|2
50000997|NATURA EKOS REPUESTO SHAMPOO MACELA|36|218|710|2|1
50000998|NATURA EKOS REPUESTO SHAMPOO PITANGA|36|218|710|1|1
50001000|DEMO SINTONIA MASC COLONIA x 4ml|660|1|550|1|0
50001001|NATURA EKOS-SHAMPOO PITANGA OLEOSO|40|403|605|1|1
50001047|Labial Protector Acacia|0|22|46|3|3
50001060|Labial Protector  Begonia|0|22|46|3|3
50001061|Labial Protector Fresia|0|22|46|2|3
50001062|Labial Protector Dalia|0|22|46|2|3
50001064|Labial Protector Geranio|0|22|46|3|3
50001066|CHRONOS SPILOL 60+ PRE-LANZAMIENTO|0|30|46|18|18
50001069|Rubor Zinia|0|67|40|10|10
50001070|REVELAR DE NATURA-DEMO 1ML*6 UNID|352|24|320|1|1
50001071|KAIAK AVENTURA FEMENINO DISPLAY|0|1|113|0|0
50001072|REVELAR DE NATURA-DEMO DESOD 4ML|0|10|190|0|0
50001073|REVELAR DE NATURA-DESOD COLONIA|32|307|684|29|29
50001074|TARJETON KAIAK AVENTURA FEM|0|1|124|0|0
50001081|Hoje Femenino - Desod. Col. 100ml|36|331|564|10|10
50001083|Hoje Femenino - Demo  4 ml|1320|8|10|1|1
50001084|ESTUCHE HOJE FEMEMENINO ENAMORADOS 2005|352|24|3400|16|16
50001098|Duo de Sombras Gerbera|0|64|124|3|3
50001100|ERVA DOCE DESOD EN LOCION SPRAY 90 ml|56|156|322|2|2
50001101|ERVA DOCE REP DESOD EN LOCION SPRAY 90ml|72|136|300|0|0
50001102|ERVA DOCE CREMA PARA MANOS Y UÑAS|99|71|209|1|1
50001156|FOTOEQUILIBRIO-EMULSION PROT FPS 8|46|173|366|4|4
50001157|FOTOEQUILIBRIO-EMULSION PROT FPS 15|46|173|366|4|4
50001158|FOTOEQUILIBRIO-EMULSION PROT FPS 30|46|173|366|5|5
50001159|FOTOEQUILIBRIO EMULS PROT FPS 30 ULTRA|46|178|404|10|10
50001181|FOTOEQUILIBRIO-FLUIDO SECO FPS 15|0|236|575|13|13
50001182|Delineador Líquido Negro|750|11|50|4|4
50001183|DELINEADOR LIQUIDO PARA OJOS GRAFITE|0|11|29|1|1
50001185|NATURA EKOS-JABON EXFOLIANTE ANDIROBA|0|218|750|1|1
50001189|NATURA EKOS-ESTUCHE NAVIDAD 01 COLONIA|0|527|1600|2|2
50001191|ERVA DOCE JABON CREMOSO CUERPO RF|0|286|150|2|2
50001192|ERVA DOCE RF JABON EN CREMA 225 ML|0|260|689|1|1
50001195|NATURA INTERAGE-ACOND CABELLOS ENRULADOS|30|304|642|2|2
50001209|FACES MAQUILLAJE-LABIAL GLOBO|0|16|45|2|2
50001221|CHRONOS-EMULSION C+ CONTORNO OJOS|0|54|350|6|7
50001224|CHRONOS-CREMA 60+|54|125|422|8|8
50001225|CHRONOS - CREMA 45/60|54|125|422|7|7
50001226|CHRONOS-GEL CREMA 30/45 N|0|125|422|8|7
50001227|CHRONOS-GEL CREMA 45/60 N|54|125|422|7|7
50001228|CHRONOS-GEL CREMA FLUIDO 30/45|100|99|254|10|10
50001229|CHRONOS-LOCION TONICA EQUILIBRANTE N|45|174|338|4|4
50001230|CHRONOS-JABON LIQUIDO SUAVIZANTE N|45|176|400|6|6
50001239|FACES MAQUILLAJE-GLOSS TRID BRILLANTINA|0|22|39|2|2
50001240|FACES MAQUILLAJE-LABIAL LAPIZ EMBALOS|952|9|24|2|2
50001241|FACES MAQUILLAJE-LABIAL LAPIZ NOSTALGIA|0|9|24|2|2
50001266|M&B-CREMA PASPADURA|99|85|250|2|2
50001271|FACES MASCARA DE PESTAÑAS|336|20|56|5|5
50001276|FACES MAQUILLAJE-SOMBRA LAPIZ BLUE JEANS|0|9|24|2|2
50001277|FACES MAQUILLAJE-SOMBRA LAPIZ HAPPY HOUR|952|9|24|2|2
50001279|REMERAS HUMOR|0|16|45|2|2
50001282|FACES MAQUILLAJE-SOMBRA LAPIZ EM@IL|0|9|24|2|2
50001285|FACES MAQUILLAJE-GLOSS LABIAL CRISTAL|0|22|39|1|1
50001288|FACES MAQUILLAJE-GLOSS TRID FLASHBACK|0|22|39|2|2
50001289|CHRONOS-GEL CREMA 30/45 REFIL|160|60|138|4|4
50001290|CHRONOS-JABON LIQ.SUAV.ANTE.REFIL|56|135|333|2|2
50001291|CHRONOS-LOC. TONICA EQUIL.ANTE.RF|56|141|342|2|2
50001293|CHRONOS-GEL CREMA 45/60 REFIL|160|60|200|4|4
50001294|CHRONOS-CREMA 45/60 REFIL|160|60|138|4|5
50001295|CHRONOS-CREMA 60+ REFIL|160|60|138|5|5
50001297|FOTOEQUILIBRIO-MOUSSE AUTOBRONCEANTE|0|238|514|6|6
50001299|FOTOEQUILIBRIO-EMULSION PRE POST SOLAR|0|175|345|5|5
50001310|Est. Kriska c/cartera naranja|0|470|3245|5|5
50001354|Shampoo MM&BB Madres 2000|0|1|1|0|0
50001356|Jabón MM&BB Estuche Madres 2000|0|1|1|0|0
50001358|Lata Oval Estuche Madres 2000|0|1|1|0|0
50001370|CONJUNTO DEMO 4 ML OLEOS SEVE|66|144|140|1|1
50001424|Base Afirmante C B.Nat. Claro|0|167|350|10|11
50001425|Base Afirmante C B. Nat. Oscuro|0|167|350|11|10
50001426|Base Afirmante C B.Nat. Medio|63|167|350|11|10
50001427|Base Afirmante C - Marron Intenso|0|167|350|10|10
50001428|Base Afirmante C B.Translucido|0|167|167|10|10
50001429|Base Afirmante C Marron Medio|63|167|350|11|11
50001431|SOMBRAS EN ESFERAS ORO VELHO|0|16|32|1|1
50001432|SOMBRA EN ESFERAS PEROLA|0|16|32|1|1
50001433|DEMO LABIALES PROTECTORES|0|20|32|1|1
50001486|ERVA DOCE-ESTUCHE DE NAVIDAD 2000|0|695|1600|2|2
50001488|KAIAK-ESTUCHE DE NAVIDAD 2000|0|515|1782|4|4
50001595|Vitrina Natura 2000 - 1 unidad|0|1|1|0|0
50001596|Talonario de pedido 1 unidad|320|48|75|2|2
50001597|Bolsita Natura Chica 1 unidad|0|1|244|0|0
50001598|Bolsitas Natura Regalo 1 unidad|0|1|374|0|0
50001599|CHRONOS SPILOL 30+ PRE-LANZAMIENTO|0|1|1|12|12
50001610|CHRONOS SPILOL 45+ PRE-LANZAMIENTO|0|1|1|2|2
50001611|Toallon Azul Marino Proteccion Solar|0|1|5400|4|4
50001612|BOLSO PLAYERO C/LONA INDICACION C 01-05|0|1|2500|18|18
50001613|Bolso Termico Naranja Plan Verano 2000|0|1|8250|6|6
50001614|Sombrilla Plan Verano 2000|0|1|1|12|12
50001615|Caja Especial de regalo|0|1|1|0|0
50001616|VALIJA MAMA & BEBE MADRES 2003|0|1|1|4|4
50001617|Toalla Blanca Seve|0|1|1|1|1
50001618|Toalla Blanca Natrua|0|1|1|1|1
50001619|Mochila Verde|0|1|1|4|4
50001620|Ficha de Consultora 1 unidad|0|1|1|0|0
50001621|Embalaje Especial Dia del Padre 99|0|1|1|0|0
50001622|BIOGRAFIA FEMENINO MADRES 2001-REEMPLAZO|0|1|1|16|17
50001623|Birome Biografia Verde 99|0|1|1|2|2
50001624|Señalador Essencial c/ sobre de paño|0|1|1|2|2
50001625|MMBB OSITO PELUCHE MADRES 2005|0|1|3672|3|3
50001626|Juego de 2 Paletas + Pelota|0|1|5625|1|1
50001627|Carpeta Verde Manzana|0|1|3591|6|6
50001628|Llavero Natura - Reconocimiento|0|1|39|0|0
50001629|Manopla porta jabon|0|1|1|0|0
50001631|REPUESTO DEMO LABIALES P/V 2001|0|1|1|6|6
50001632|Sobre Transparente Seve|0|1|133|0|0
50001633|CAJA CHRONOS DORADA MADRES 2004|200|1|144|1|1
50001634|ESTUCHE CHRONOS 30+ MADRES 2004|0|150|5500|17|17
50001635|FAJA AZUL PARA CAJAS NATURA|0|10|2000|0|0
50001636|"CAJA ""EL"" ENAMORADOS 2006"|0|1|100|1|1
50001637|Bolso Verano 2000 Transparente|0|1|1|1|1
50001638|Estuche Mama & Bebe|0|1|3063|2|2
50001639|Kaiak Femenino Sin Bolso|0|345|760|7|7
50001640|BOLIGRAFO ACTIVIDAD CICLO 02-05|0|1|1|2|2
50001641|CAJA MADRES 2004 COLOR NATURAL|0|1|1|1|1
50001642|BOLSA DE CARTON TODODIA AMIGOS 2005|250|1|1|0|0
50001643|FOLLETO BAPRO|0|1|71|0|0
50001644|Cinturon Negro|0|1|264|4|4
50001645|KIT DE INICIO PARTE III A DISTANCIA 2005|0|1|1|0|0
50001646|vincha Normalis|0|1|1|1|1
50001647|Caja Papel Tissue|0|1|1207|0|0
50001648|SPILOL +60 INDICACION C11/12-06|0|450|784|8|8
50001649|CHALINAS CHICAS SR MADRES 2006|0|1|1|0|5
50001650|KIT FIESTA  ALTO INV OPCION FELICIDAD|0|1|1000|7|7
50001662|Anotador Biografia|0|1|1|2|2
50001663|Cartera Intuicion Navidad 98|0|1|1|4|4
50001664|VITRINA NATURA CICLO 09-04|0|100|100|0|0
50001670|CARAMANOLA DIA DEL PADRE 2004|110|100|1000|9|9
50001671|DEMO EKOS OLEO TRIFASICO MATE VERDE 4 ML|0|1|1|0|0
50001672|Necessaire portalabial|0|1|210|1|1
50001673|NATURA CRIANZA ACONDICIONADOR|0|1|188|1|1
50001674|FAJA ESTUCHE EKOS MATE VERDE PADRES 2005|0|1|690|0|0
50001675|NECESSAIRE FACES KIT ANTI STRESS PVC|0|50|1222|3|3
50001676|Metodo de Higiene y Masajes Mama & Bebe|0|30|1|0|0
50001677|KAIAK FEM MOCHILA NARANJA MADRES 2005|0|1|1560|6|6
50001678|MOCHILA NARANJA KAIAK MADRES 2004|0|1|368|4|4
50001679|DEMO EKOS OLEO TRIFASICO CACAO 4 ML|0|1|1|0|0
50001680|BOTINERO DIA DEL PADRE 2004|100|100|1000|5|5
50001681|Carterita Kriska Negra|0|1|1|1|1
50001682|Necessaire para Bicicleta Kaiak|0|1|1|1|1
50001683|Bolsita Biografia|0|1|1|0|0
50001684|SOBRE PAPEL TAMAÑO CARTA INSTITUCIONAL|0|1|896|0|0
50001685|Necessaire Fragancias Refrescantes|0|1|1|2|2
50001686|NECESSAIRE FRANJA 1 PLAN ROSTRO 2006|0|1|3000|2|2
50001687|Interior Vitrina Natura|0|1|1242|3|3
50001688|Interior Manual Natura|0|1|1190|3|3
50001689|FOLLETO COBRO AGIL|0|1|1|0|0
50001690|NECESSAIRE FRANJA 3 PLAN ROSTRO 2006|100|1|3000|6|6
50001691|Carterita Kriska|0|1|1584|4|4
50001692|Estuche para catalogo|0|1|74|0|0
50001693|Portalabial|0|1|1|1|1
50001694|Promocion 1|0|1|15|0|0
50001709|HOJE FEMENINO-ESTUCHE NAVIDAD 2000|0|547|2359|4|4
50001737|CHRONOS-GEL LIMPIEZA EXFOLIANTE N|136|75|182|3|3
50001757|Mini Labial Regente|0|1|10|0|0
50001761|BOLSA DE PAPEL NARANJA|0|1|100|0|0
50001765|Muestra Quotidiano 6 * 1 ml|0|24|46|0|0
50001766|DEMO COLONIA EKOS 4 ML LIMA DE LA TIERRA|0|10|12|0|0
50001792|Quotidiano Colonia|0|260|500|2|2
50001810|SEVE ALMENDRAS DULCES 110ml SIN CAJA|0|1|400|5|5
50001817|BASE EN BARRA ILUMINADORA EFECTO HELADO|0|45|79|5|5
50001832|SE KAIAK 100ML|0|1|1|0|0
50001860|BOLSA DE CARTON EKOS AMIGOS 2005|250|1|428|0|0
50001861|Bolsa Mama & Bebe|0|1|1|0|0
50001862|BOLSO KIT INICIO NEGRO VACIO|0|1|8000|5|5
50001863|NECESSAIRE MM&BB NAVIDAD 2003|0|100|3240|5|5
50001864|ESTUCHE DEMO DE FRAGANCIAS|0|1|730|0|0
50001865|ESPONJA MAMA & BEBE|0|1|100|1|1
50001866|ESPONJA DE BANO ERVA DOCE|0|1|5|0|0
50001867|Carpeta Vitrina  Natura|0|1|1716|1|1
50001868|Carpeta Manual Natura|0|1|3200|1|1
50001869|FOLLETERIA ENSOBRADA CICLO 07-05|0|1|1|0|0
50001870|Minivitrina C.9 y 10/99|0|1|1|0|0
50001871|CRIANZA FIBRAS|0|1|3216|1|1
50001872|FICHA DE CLIENTE|1000|1|1|0|0
50001873|Cartera Natura|0|1|4100|8|8
50001874|Pin Natura 4 Campanas|0|1|1|0|0
50001875|EKOS CREMA HIDRATANTE ANDIROBA REEMPLAZO|0|350|450|5|5
50001876|NATURA CRIANZA BUFANDA ROJA 2004|60|1|1|1|1
50001877|Pin del Ano|0|1|1|1|1
50001910|Natura Crianza Niñas Colonia + Toalla|0|1|1|0|0
50001912|BANNERS SHOWROOM MADRES 2006|0|1|1|2|97
50001913|Cartera Marron|0|1|1|0|0
50001914|ESTUCHE DEMO LABIALES NUEVO|0|1|1122|28|30
50001915|Necessaire Natura Hombre|0|1|1|3|3
50001916|Portarretrato|0|1|1|3|3
50001917|CARTERITA DE CHIFFON|0|1|2160|6|6
50001918|Repuesto Manual Ciclo 10/99|0|1|1|1|1
50001919|VITRINA CICLO 11-04 x 1 UNIDAD|0|1|300|0|0
50001920|CARTA FALTANTE PULPA HIDR PIES CASTAÑA|0|1|1|0|0
50001921|TALONARIO DE VISITA|0|1|21|0|0
50001922|Lentes de Sol|0|1|486|1|1
50001923|Porta lentes de Sol|0|1|1|1|1
50001924|BOLSO NEGRO KIT DE INICIO 2006|15|15|810|22|22
50001925|KAIAK FEMEMNINO INDICACION C09/10-06|0|1|6|30|28
50001927|BOLSITA NATURA GRANDE (1 UNIDADE)|0|1|244|0|0
50001928|NATURA CRIANZA-NAVIDAD 01 NIÑAS REEMP|0|1|1|5|5
50001929|Minivitrina Natura 2000 * 2 unidades|0|1|1|0|0
50001930|Minivitrina Natura 2000 * 5 unidades|0|1|1|0|0
50001931|BOLSITAS NATURA CHICAS (10 UNIDADES)|0|1|9|0|0
50001932|BLOCKS DE CARTONES OLFATIVOS 2 UNIDADES|0|1|12|1|0
50001933|MINIVITRINA ANO 1999 - 5 UNIDADES|0|1|1|0|0
50001934|Minivitrina C16 a 18 - 2 unidaddes|0|1|1|0|0
50001935|EST.NAVIDAD NATURA CRIANCA 99 NINAS|0|1|1|13|14
50001936|ESTUCHE NAV.NATURA CRIANCA 99 NINOS|0|1|1|12|13
50001937|ESTUCHE NAV.MAQUILLAJE 99 C/CARTERA|0|1|3762|2|2
50001938|ESTUCHE NAV.MINIATURAS 99 (LOC+MINILAV)|0|1|3762|8|8
50001939|LABIAL LIQUIDO VINO X 2|0|1|450|3|4
50001940|Est. Loc. Crem. TTP c/Portautilidades|0|1|2800|5|5
50001941|DEMOSTRADOR DE FRAGANCIAS COMPLETO|0|1|1|13|13
50001942|VITRINA NATURA BR|0|1|1|5|5
50001943|Manual de Producto|0|1|1|6|6
50001945|KIT DE INICIO PARTE I NMI 2005|0|1|1|35|36
50001964|ÁCIDO LÁCTICO|0|0|0|0|0
50001979|carta aplicacion de promo no mandar!|0|1|1|0|0
50001990|BOLSA DE PAPEL POCKET PLATEADA x 3 UN|0|100|100|1|1
50001991|NECESSAIRE BLANCO CHRONOS MADRES 2004|10|1|767|4|4
50001992|CARTA FALTANTE DEMO INFANTIL 4 ml|0|1|1|0|0
50001993|ESPONJA VEGETAL|0|1|1|0|0
50001994|SECADOR WESTINGHOUSE|0|1|1872|15|15
50001996|FACES MAQUILLAJE-GLOSS TRID BRILLANTINA|0|1|1|0|0
50001997|LABIAL LIQUIDO MARRON X 2|0|1|1|3|4
50001998|REVELAR MADRES 2001-REEMPLAZO|0|1|1|9|9
50001999|Necessaire Nuevo Maquillaje Natura|0|1|1290|2|2
50002000|DEMO TODODIA ROSTRO x 2 un|0|1|1|0|0
50002001|Necessaire Estuche Multifuncional Vacio|0|1|1|2|2
50002002|SOMBRA PEROLA+LAPIZ LABIOS Y OJOS|0|1|1|3|3
50002003|Est. Loc. Cremosas  PS c/Portautilidade|0|1|1|5|5
50002004|KIT NIÑAS|0|1|1|9|9
50002005|KIT NIÑOS|0|1|1|8|8
50002006|2 Blocks Cartones Olfativos|0|1|1|1|1
50002007|NUEVAS BOLSAS DE PAPEL GRANDES 2006|100|1|200|0|0
50002008|Caja Navidad Grande (1 unidad)|0|1|1|0|0
50002009|HOJE FEMENINO MADRES 2001-REEMPLAZO|0|1|1|9|9
50002010|Bolsa Tododia Día del amigo|100|100|1000|0|0
50002011|LABIAL LIQUIDO MARRON+VINO|0|1|1|3|4
50002012|LABIAL ELUARD+BOUDIN+PORTALABIAL|0|1|1|1|2
50002013|Caja Especial de regalo|0|1|1|0|0
50002014|Demo Bases y Polvos Vacio|0|1|1|0|0
50002015|KIT RADIO 23/8 REGALO|0|1|1|9|9
50002016|AGUAS DE NATURA KIT BAÑO MUSC|0|1|1|3|3
50002017|KIT DE INICIO PARTE III NMI 2005|0|600|1000|0|0
50002018|REVELAR-ESTUCHE DE PRENSA|0|1|100|1|1
50002019|Mochila Blanca y Gris|0|1|1|3|3
50002020|LANZAMIENTO VIVA|0|1|1|61|63
50002021|Billetera Rayada|0|1|1|4|4
50002022|Remera Kaiak|0|1|1|4|4
50002023|Necessaire Miniaturas Vacio|0|1|1|1|1
50002024|Embalaje Especial en tela|0|1|79|0|0
50002025|CARTA FALTANTE SEVE|0|1|1|0|0
50002026|NATURA CRIANZA-NAVIDAD 01 NIÑOS REEMP|0|1|100|6|6
50002027|Promocion 2|0|1|1|0|0
50002028|Gargantilla Exsultate|0|1|1|2|2
50002029|KIT ESPECIAL CURSO PERFUMERIA|0|1|1|35|31
50002030|Necessaire Marron Natura|0|1|1|2|2
50002031|GLOSS + SOMBRA ROSA REEMPLAZO|0|1|1|7|7
50002036|CREPE-CREPE|0|50|100|5|6
50002054|FAJA ESTUCHE GEN MASC PADRES 2005|0|73|8000|0|0
50002162|Flaconete c/cartela Novare - 2ml - 1 und|0|1|54|0|0
50002163|Flaconete c/cart Segreto - 2ml - 1 und|0|1|54|0|0
50002164|Flaconete c/cartela Musc - 2ml * 1 und|0|1|54|0|0
50002165|Flaconete c/cartela Sr N - 2ml * 1 und|0|1|1|0|0
50002166|Flac c/cart Biografía Masc - 2ml * 1 und|0|1|1|0|0
50002167|FANAL EXAGONAL SORTEO NAVIDAD 04|0|500|250|4|4
50002168|Flac.Tisbe * 1 und|0|1|1|0|0
50002169|Flac.Pamina * 1 und|0|1|1|0|0
50002250|HOJA PROMO MADRES 2006 RIOS|0|1|1|0|0
50002251|Nat.Hombre * 1 und|0|1|1|0|0
50002252|NATURA EKOS PITANGA REGALO NAVIDAD 04|0|150|250|0|0
50002253|Vestha * 1 unidad|0|1|1|0|0
50002255|Conj Cn C3  Vegetal Trigo|0|1|1|8|8
50002256|Conj Cn C3  Vegetal Henna|0|1|1|2|2
50002257|Conj Cn C3  Vegetal Avena|0|1|1|2|2
50002258|Conj Cn C3  Vegetal Manzanilla|0|1|1|2|2
50002376|NATURA CUERPO-NECESSAIRE C.17|0|102|150|1|1
50002380|Natura Hombre Necessaire Lona|0|68|585|3|4
50002384|EDREDON INDICACION 30 BONUS|0|38|10|86|86
50002392|NATURA HOMBRE-GEL ESPUMANTE P/ AFEITAR|45|208|475|16|16
50002480|FACES MAQUILLAJE-SOMBRA LAPIZ CYBER|0|10|24|2|2
50002496|Kaiak Aerosol|0|220|400|2|2
50002497|Kriska Aerosol|0|147|400|1|1
50002498|ESMALTE FADO|0|1|1|0|0
50002503|OLEO ANDIROBA AVISO DE CAPTACION|0|300|610|0|0
50002524|ESMALTE VIOLA|0|1|1|1|1
50002525|ESMALTE DRAMA|0|1|1|0|0
50002576|Estuche Bringi Madres 2000|0|1|1|3|3
50002579|ESTUCHE ESPECIAL FACES MADRES 2005|7|1|2400|9|9
50002581|FACES MAQUILLAJE-NECESSAIRE C8/2002|0|63|798|3|3
50002584|ESTUCHE ERVA DOCE NAVIDAD 2005|0|1|2700|4|4
50002585|Necessaire Joven Día Madres 2000|0|51|624|0|0
50002589|FOTOEQUILIBRIO-FLUIDO SECO FPS 8|0|236|575|7|13
50002644|Orientador de Armonías O/I 2000|0|41|68|0|0
50002646|Natura Crianças Cubo Porta retrato|30|68|580|1|1
50002665|BOLSITAS NATURA GRANDES (5 UNIDADES)|0|1|1|0|0
50002666|Talonario de pedido 2 unidades|0|1|1|2|0
50002667|Pin Cn Nueva marca|0|3|1|0|0
50002668|Estuche Mini Pinceles Irradiado|0|22|70|1|2
50002669|VELAS EN LATA Y VASO SORTEO NAVIDAD 04|0|750|500|6|6
50002696|MAQUILLAJE NECESSAIRE NAVIDAD 2003|100|10|1100|4|4
50002710|Porta Recado Quotidiano|0|31|435|1|1
50002790|Nec. Transp. Frag. Refrescantes|0|1|0|1|1
50002791|Cepillo Interage|0|1|0|1|1
50002825|DEMO HOJE MASCULINO 6 X 1ML|352|24|43|1|1
50002827|KIT VERANO NATURA CONTROLPLANT|0|23|65|11|10
50002834|FACES MAQUILLAJE-GLOSS LABIAL CRISTAL|0|1|0|0|0
50002835|Est. Natura Crianças Niños Esp. C.4|0|1|0|4|5
50002836|LABIAL LIQUIDO CEREZA+MARRON|0|1|10|3|3
50002842|DEMO BIOGRAFIA MASCULINO 6X1 ML|352|24|65|1|1
50002843|Kaiak - Demo 1ml* 6un|352|24|10|0|1
50002844|Kriska - Demo 1ml * 6 un|352|24|10|1|0
50002871|Productos Colaboradores|0|1000|6000|8|8
50002873|ATACHE AZUL PLAN VERANO 2006|35|1|2000|8|8
50002875|Gorra Biografía|0|1|0|0|0
50002886|GEL ELASTINOL +60 INDICACION C09/10-06|0|755|5280|12|12
50002926|Campera Amarilla - Gris|0|1|2520|12|12
50002945|UNICA LABIAL BALI|0|22|45|0|0
50002945|UNICA LABIAL IBIZA|0|22|45|0|0
50002949|UNICA LABIAL CARIBE|0|22|45|0|0
50003111|CONJUNTO DEMO FRAG 4 ML COMPLETO + CARTA|0|30|100|38|38
50003112|Paraguas Essencial|0|1|1000|4|4
50003113|Necessaire Azul Biografía|0|1|1|2|2
50003114|Vela Seve|0|1|0|1|1
50003115|VITRINA NATURA CICLO 09/03|0|1|1|0|0
50003116|Rep. Demo de Frag. Internac. Completo|0|1|3|26|26
50003117|Est. Demo Frag. Int. Completo|0|1|1100|38|38
50003123|NATURA INTERAGE-FACILITADOR DEL PEINADO|0|274|2250|1|1
50003146|FOLLETERIA ENSOBRADA CICLO 07-05|0|100|100|0|0
50003273|QUOTIDIANO-PORTARRETRATO C.17|0|110|1467|2|2
50003350|KRISKA JEANS BOLSO Nro 3|100|1|1|6|6
50003351|LLAVERO CUERO PASACINTOS ENAMORADOS 2005|0|1|200|6|6
50003352|Billetera Jean|0|1|0|1|1
50003353|Esponja Erva Doce|0|1|5|1|1
