ID,CODIGO_VENTA,MATERIAL,CICLO,SUBCICLO,FECHA_CAPTACION,TIPO,UNIDADES,VENTA ONLINE,COD_LINEA_SEPARACION,LINEA_SEPARACION,COD_CANAL_DISTRIBUCION,CANAL_DISTRIBUCION
148fc7ccccb8b07501f6e9de310a890a,82509,50294004,202115,,2021-10-26,Venta Normal,25,No,,,3,Plaza
149320aed58b245bfad8c6c68d261066,69653,50270073,202115,,2021-10-25,Venta Normal,83,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
149c98bed6b6b5676a74feb363a4185d,4390,50273039,202114b,2o SubCiclo,2021-10-25,Venta Normal,1,No,,,3,Plaza
14a774718d6eb36d0dce42d1dc74e919,84591,50295161,202114b,2o SubCiclo,2021-10-25,Venta Normal,2,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14aab58e4918d72b150f72cabbefeeba,95874,50302547,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,43,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14ab61571e1cb5ca93b7237d098c3d42,94072,50298925,202115,,2021-10-25,Regalo,2,No,7.0,Knapp PTL,3,Plaza
14ad997237f5192e1d245b7a6d26922f,59375,50186456,202114b,2o SubCiclo,2021-10-25,Venta Normal,1,No,7.0,Knapp PTL,3,Plaza
14ae2f8231ae84b1bfc46ca188745a11,78906,50220025,202115,,2021-10-25,Venta Normal,2,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14b2f0870a784cf398fdb5eaf8622999,13679,50187839,202115,,2021-10-25,Venta com Descuento,23,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14c497eaa03c3d3c98659b5745972003,17067,50323477,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,527,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14c54d3e9fcfa296d9a30ac83b62d0f0,82602,50233735,202115,,2021-10-25,Venta Normal,5,No,7.0,Knapp PTL,3,Plaza
14c622a4d830aca12d8d00aea989bbd9,92573,50264635,202114b,2o SubCiclo,2021-10-25,Venta Normal,18,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14c6aebce78d3f9b8feb0d6a550726f5,81950,50308640,202114b,2o SubCiclo,2021-10-26,Venta Normal,19,No,,,3,Plaza
14ca39cbcd707a33891052a333a587c4,95812,50302751,202114b,2o SubCiclo,2021-10-25,Regalo,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14cb8a9c81d3d66346ce9f08f30d066e,68542,50220396,202115,,2021-10-25,Regalo,24,No,7.0,Knapp PTL,3,Plaza
14d00f007e26690db1c81078527444ac,15826,50322641,202115,,2021-10-25,Reclamo,1,No,,,3,Plaza
14d1241fb1d2ca86620831940ff43592,71388,50275113,202114b,2o SubCiclo,2021-10-26,Venta Normal,6,No,,,3,Plaza
14e641942e99cde34c93acc1055dcb12,57998,50182975,202114b,2o SubCiclo,2021-10-26,Venta com Descuento,54,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
14f33cb2a0fa58d5eaf231ea46490d74,80444,50225751,202114b,2o SubCiclo,2021-10-25,Venta Normal,119,No,,,3,Plaza
14f5029c778d0fb13584669883a2520e,95774,50303302,202115,,2021-10-25,Venta Normal,14,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
150be8fb69fb78a7381db903fe6643e2,105447,50351916,202114b,2o SubCiclo,2021-10-26,Reclamo,3,No,,,3,Plaza
150fad7ece2386642559ab31e132cae7,2273,50307724,202114b,2o SubCiclo,2021-10-26,Venta Normal,102,No,,,3,Plaza
151213342cfc1956f17643e364723f7a,14575,50202430,202115,,2021-10-25,Venta com Descuento,18,No,7.0,Knapp PTL,3,Plaza
1516ea8c56e9b3aa610c01d5530f68ca,69817,50326100,202115,,2021-10-25,Venta Normal,2,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
151a2b854d2431c411c8bf884d52b48c,5877,50308142,202115,,2021-10-25,Venta Normal,5,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1523b0ccb8ebeb55998c4013207c206b,70981,50326038,202115,,2021-10-25,Venta com Descuento,119,No,,,3,Plaza
152441b16f23af52d4e1c91763ca94d0,57993,50182979,202115,,2021-10-25,Venta com Descuento,8,No,,,3,Plaza
152d4feee3227af6077b73178b57d895,41638,50319138,202114b,2o SubCiclo,2021-10-25,Venta Normal,97,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
